OFFER ( alarm_time = "7 am" ; alarm_name = "Wake up") & You have 2 alarms set, one for 7 am that is called Wake up.
OFFER ( alarm_time = "7 am" ; alarm_name = "Wake up") & You have 2 alarms set, one for 7 am that is called Wake up.
OFFER ( alarm_time = "7 am" ; alarm_name = "Wake up") & You have 2 alarms set, one for 7 am that is called Wake up.INFORM_COUNT ( count = "2") & You have 2 alarms set, one for 7 am that is called Wake up.
OFFER ( alarm_time = "4:30 pm" ; alarm_name = "Pick up kids") & There is an alarm called Pick up kids that is set for 4:30 pm.
CONFIRM ( new_alarm_time = "4:15 pm" ; new_alarm_name = "New alarm") & Please confirm that you are creating an alarm for 4:15 pm that is named New alarm.
CONFIRM ( new_alarm_time = "5:15 pm" ; new_alarm_name = "New alarm") & Please confirm that you are creating an alarm at 5:15 pm that is called New alarm.
OFFER ( alarm_time = "7 am" ; alarm_name = "Wake Up") & You have 2 alarms including one called Wake Up set for 7 am.
OFFER ( alarm_time = "7 am" ; alarm_name = "Wake Up") & You have 2 alarms including one called Wake Up set for 7 am.
OFFER ( alarm_time = "7 am" ; alarm_name = "Wake Up") & You have 2 alarms including one called Wake Up set for 7 am.INFORM_COUNT ( count = "2") & You have 2 alarms including one called Wake Up set for 7 am.
CONFIRM ( new_alarm_time = "5:15 pm" ; new_alarm_name = "Cleaning") & Please confirm you want an alarm called Cleaning at 5:15 pm.
OFFER ( alarm_time = "6:30 am" ; alarm_name = "Wake up") & You have one alarm for 6:30 am, called Wake up.
CONFIRM ( new_alarm_time = "5 pm" ; new_alarm_name = "New alarm") & Let me see if I got everything correctly: You'd like a New alarm created for 5 pm. Correct?
OFFER ( alarm_time = "8:30 am" ; alarm_name = "wake up") & You currently have 2 alarms set, one of which goes off at 8:30 am and has the name wake up.
OFFER ( alarm_time = "8:30 am" ; alarm_name = "wake up") & You currently have 2 alarms set, one of which goes off at 8:30 am and has the name wake up.
OFFER ( alarm_time = "8:30 am" ; alarm_name = "wake up") & You currently have 2 alarms set, one of which goes off at 8:30 am and has the name wake up.INFORM_COUNT ( count = "2") & You currently have 2 alarms set, one of which goes off at 8:30 am and has the name wake up.
OFFER ( alarm_time = "10:30 am" ; alarm_name = "shuttle to work") & The other alarm goes off at 10:30 am and has the name shuttle to work.
CONFIRM ( new_alarm_time = "4:30 pm" ; new_alarm_name = "new alarm") & So you want to set up a new alarm that goes off at 4:30 pm?
OFFER ( alarm_time = "9 am" ; alarm_name = "Wake Up") & Sure. You have one at 9 am called Wake Up
CONFIRM ( new_alarm_time = "4:45 pm" ; new_alarm_name = "Grocery Run") & Confirming your 4:45 pm Grocery Run Alarm
CONFIRM ( new_alarm_time = "5:15 pm" ; new_alarm_name = "Leave for Home") & Confirming your 5:15 pm alarm named Leave for Home, yes?
OFFER ( alarm_time = "6 am" ; alarm_name = "wake up") & You have 2 alarms on now. There is one for 6 am to wake up.
OFFER ( alarm_time = "6 am" ; alarm_name = "wake up") & You have 2 alarms on now. There is one for 6 am to wake up.
OFFER ( alarm_time = "6 am" ; alarm_name = "wake up") & You have 2 alarms on now. There is one for 6 am to wake up.INFORM_COUNT ( count = "2") & You have 2 alarms on now. There is one for 6 am to wake up.
CONFIRM ( new_alarm_time = "4 pm" ; new_alarm_name = "cleaning") & Okay, please confirm that you want to create a 4 pm alarm called cleaning.
OFFER ( alarm_time = "8:30 am" ; alarm_name = "Wake up") & You set 2 alarms. One is for 8:30 am and is called Wake up.
